municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Mansfield,closed,,32.5821,-97.142502,US
Palmer,small_airport,,61.66830063,-149.1880035,US
Fort Rucker/Wicksburg,heliport,,31.2311992645,-85.64969635010002,US
Kingston,small_airport,,36.000633,-93.57025,US
Yuma,heliport,,32.683452,-114.634346,US
Van Buren,seaplane_base,,47.158901,-67.931999,US
Calabasas,heliport,,34.136516,-118.714685,US
Pope Valley,small_airport,,38.6106987,-122.39099884,US
Mead,small_airport,,40.214984,-104.984423,US
Torrington,heliport,,41.7737007141,-73.1162033081,US
Florala,small_airport,,30.918899536132812,-86.21829986572266,US
North Miami Beach,heliport,,25.960899353027344,-80.13919830322266,US
La Belle,small_airport,,26.52018,-81.41031,US
Richland,small_airport,,32.0713996887207,-84.71440124511719,US
Nora Springs,small_airport,,43.13750076293945,-93.06829833984375,US
Elk City,small_airport,,45.914101,-114.835999,US
New Haven,closed,,41.028702,-84.9972,US
Bonfield,small_airport,,41.156700134277344,-88.0167007446289,US
Belleville,small_airport,,39.641998291015625,-86.50420379638672,US
Mount Auburn,small_airport,,39.72589874267578,-89.26399993896484,US
Elk City,small_airport,,37.26620101928711,-95.95919799804688,US
Frankfort,small_airport,,38.187091,-84.93011,US
Paint Lick,small_airport,,37.53575,-84.407303,US
Winnsboro,small_airport,,32.265301,-91.6978,US
Willowbrook,heliport,,41.749228,-87.935783,US
Alexandria,small_airport,,31.252148,-92.47569,US
Pauls Valley,heliport,,34.71979,-97.214237,US
Ipswich,heliport,,42.691200256347656,-70.91230010986328,US
Chestertown,small_airport,,39.244232,-76.198661,US
Jonesboro,small_airport,,44.65700149536133,-67.55919647216797,US
Taylor,heliport,,42.236433,-83.276421,US
Aurora,heliport,,47.5175001,-92.2302778,US
Portageville,heliport,,36.4297981262207,-89.68009948730469,US
Jackson,heliport,,32.32973,-90.16273,US
Belgrade,small_airport,,45.815368,-111.152163,US
Supply,closed,,34.008099,-78.2911,US
Spalding,small_airport,,41.7221984863,-98.3089981079,US
Kensington,heliport,,42.92390060424805,-70.95140075683594,US
Jersey City,heliport,,40.7140007019043,-74.03150177001953,US
Baker,small_airport,,39.0311,-114.088219,US
Pulaski,heliport,,43.551998138427734,-76.09020233154297,US
Eugene,heliport,,44.059531,-123.118951,US
Conesville,small_airport,,40.184513,-81.920564,US
Columbia Station,small_airport,,41.28839874267578,-81.96260070800781,US
Crescent,closed,,35.8534,-97.567497,US
Enterprise,small_airport,,45.44428,-117.34722,US
Philadelphia,heliport,,39.9548,-75.178201,US
Harrisburg,heliport,,40.30009841918945,-76.85800170898438,US
Neelyton,small_airport,,40.143075,-77.86221,US
Vernonia,small_airport,,45.85150146484375,-123.24199676513672,US
Sealy,small_airport,,29.809099197387695,-96.26509857177734,US
Georgetown,small_airport,,30.72209930419922,-97.79139709472656,US
Covington,closed,,35.556998,-89.552903,US
Justin,small_airport,,33.12929916381836,-97.35859680175781,US
Blum,small_airport,,32.128974,-97.404582,US
Oljato-Monument Valley,closed,,37.033626,-110.315778,US
Blanca,small_airport,,37.41109848022461,-105.552001953125,US
Farmville,small_airport,,37.22420120239258,-78.4186019897461,US
Highgate Springs,heliport,,45.013301849365234,-73.08670043945312,US
Spokane,heliport,,47.64820098876953,-117.41400146484375,US
Darien,small_airport,,42.651100158691406,-88.74590301513672,US
Kettle Falls,small_airport,,48.702222,-118.0475,US
Dumas,heliport,,35.863631,-101.970944,US
